-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=85, lr=0.000991, snr1=2.983 ,snr2=100.000 ,BS=4192 ,loss=0.0864 ,BER=0.00662 ,num=444
GBAF_new: Idx=86, lr=0.000991, snr1=2.983 ,snr2=100.000 ,BS=4192 ,loss=0.0834 ,BER=0.00611 ,num=410
GBAF_new: Idx=87, lr=0.000991, snr1=2.983 ,snr2=100.000 ,BS=4192 ,loss=0.0816 ,BER=0.00641 ,num=430
GBAF_new: Idx=88, lr=0.000991, snr1=2.982 ,snr2=100.000 ,BS=4192 ,loss=0.0769 ,BER=0.00525 ,num=352
GBAF_new: Idx=89, lr=0.000991, snr1=2.982 ,snr2=100.000 ,BS=4192 ,loss=0.0771 ,BER=0.00558 ,num=374
GBAF_new: Idx=90, lr=0.000991, snr1=2.982 ,snr2=100.000 ,BS=4192 ,loss=0.0743 ,BER=0.00523 ,num=351
GBAF_new: Idx=91, lr=0.000991, snr1=2.982 ,snr2=100.000 ,BS=4192 ,loss=0.0713 ,BER=0.00488 ,num=327
GBAF_new: Idx=92, lr=0.000991, snr1=2.982 ,snr2=100.000 ,BS=4192 ,loss=0.0687 ,BER=0.00422 ,num=283
GBAF_new: Idx=93, lr=0.000991, snr1=2.981 ,snr2=100.000 ,BS=4192 ,loss=0.0687 ,BER=0.00489 ,num=328
GBAF_new: Idx=94, lr=0.000991, snr1=2.981 ,snr2=100.000 ,BS=4192 ,loss=0.0646 ,BER=0.00355 ,num=238
GBAF_new: Idx=95, lr=0.00099, snr1=2.981 ,snr2=100.000 ,BS=4192 ,loss=0.0628 ,BER=0.00371 ,num=249
GBAF_new: Idx=96, lr=0.00099, snr1=2.981 ,snr2=100.000 ,BS=4192 ,loss=0.0612 ,BER=0.00346 ,num=232
GBAF_new: Idx=97, lr=0.00099, snr1=2.981 ,snr2=100.000 ,BS=4192 ,loss=0.0583 ,BER=0.00286 ,num=192
GBAF_new: Idx=98, lr=0.00099, snr1=2.980 ,snr2=100.000 ,BS=4192 ,loss=0.056 ,BER=0.00247 ,num=166
GBAF_new: Idx=99, lr=0.00099, snr1=2.980 ,snr2=100.000 ,BS=4192 ,loss=0.0558 ,BER=0.0031 ,num=208
GBAF_new: Idx=100, lr=0.00099, snr1=2.980 ,snr2=100.000 ,BS=4192 ,loss=0.0543 ,BER=0.00285 ,num=191
GBAF_new: Idx=101, lr=0.00099, snr1=2.980 ,snr2=100.000 ,BS=4192 ,loss=0.0518 ,BER=0.00252 ,num=169
GBAF_new: Idx=102, lr=0.00099, snr1=2.980 ,snr2=100.000 ,BS=4192 ,loss=0.0502 ,BER=0.00259 ,num=174
GBAF_new: Idx=103, lr=0.00099, snr1=2.979 ,snr2=100.000 ,BS=4192 ,loss=0.0495 ,BER=0.00253 ,num=170
GBAF_new: Idx=104, lr=0.00099, snr1=2.979 ,snr2=100.000 ,BS=4192 ,loss=0.0474 ,BER=0.00246 ,num=165
GBAF_new: Idx=105, lr=0.000989, snr1=2.979 ,snr2=100.000 ,BS=4192 ,loss=0.0474 ,BER=0.00264 ,num=177
GBAF_new: Idx=106, lr=0.000989, snr1=2.979 ,snr2=100.000 ,BS=4192 ,loss=0.0447 ,BER=0.00221 ,num=148
GBAF_new: Idx=107, lr=0.000989, snr1=2.979 ,snr2=100.000 ,BS=4192 ,loss=0.0436 ,BER=0.00221 ,num=148
GBAF_new: Idx=108, lr=0.000989, snr1=2.978 ,snr2=100.000 ,BS=4192 ,loss=0.0424 ,BER=0.00198 ,num=133
GBAF_new: Idx=109, lr=0.000989, snr1=2.978 ,snr2=100.000 ,BS=4192 ,loss=0.0408 ,BER=0.00182 ,num=122
GBAF_new: Idx=110, lr=0.000989, snr1=2.978 ,snr2=100.000 ,BS=4192 ,loss=0.0408 ,BER=0.00219 ,num=147
GBAF_new: Idx=111, lr=0.000989, snr1=2.978 ,snr2=100.000 ,BS=4192 ,loss=0.0388 ,BER=0.00173 ,num=116
